Station_ID,Timestamp,CO_Channel,NOx_Channel,NO2_Channel,Ambient_Temperature,Relative_Humidity,Absolute_Humidity
STN-01,2021-01-02 15:00:00,0.6,6.0,83.0,9.1,44.3,0.6149
STN-01,2021-01-02 16:00:00,1.6,134.0,120.0,9.1,41.2,0.5828
STN-01,2021-01-02 17:00:00,2.2,216.0,149.0,8.2,39.3,0.5195
STN-01,2021-01-02 18:00:00,2.6,241.0,165.0,,36.1,
STN-01,2021-01-02 19:00:00,2.6,,176.0,4.4,37.3,0.4248
STN-01,2021-01-02 20:00:00,2.3,349.0,159.0,2.9,40.3,0.4332
STN-01,2021-01-02 21:00:00,1.4,289.0,145.0,2.7,41.2,0.3847
STN-01,2021-01-02 22:00:00,0.0,95.0,117.0,1.9,48.4,0.4621
STN-01,2021-01-02 23:00:00,0.2,103.0,119.0,-0.2,54.9,0.4603
STN-01,2021-01-03 00:00:00,0.1,79.0,95.0,0.3,55.9,0.4832
STN-01,2021-01-03 01:00:00,0.0,43.0,97.0,-0.6,58.8,0.4344
STN-01,2021-01-03 02:00:00,0.0,10.0,92.0,-1.1,65.8,0.4825
STN-01,2021-01-03 03:00:00,0.2,30.0,92.0,-1.3,68.8,0.5275
STN-01,2021-01-03 04:00:00,0.0,1.0,62.0,-0.6,69.2,0.558
STN-01,2021-01-03 05:00:00,0.7,81.0,86.0,-1.4,69.7,0.5264
STN-01,2021-01-03 06:00:00,0.4,56.0,74.0,-0.4,68.1,0.539
STN-01,2021-01-03 07:00:00,1.7,213.0,110.0,0.9,59.1,0.469
STN-01,2021-01-03 08:00:00,1.4,124.0,97.0,1.7,53.7,0.4496
STN-01,2021-01-03 09:00:00,1.3,123.0,89.0,3.5,48.5,0.4679
STN-01,2021-01-03 10:00:00,1.9,238.0,138.0,6.2,40.5,0.4698
STN-01,2021-01-03 11:00:00,2.4,276.0,135.0,7.6,35.4,0.4575
STN-01,2021-01-03 12:00:00,2.8,275.0,127.0,9.6,34.1,0.4988
STN-01,2021-01-03 13:00:00,3.0,243.0,127.0,11.2,31.9,0.5065
STN-01,2021-01-03 14:00:00,2.6,169.0,104.0,10.5,28.2,0.4418
STN-01,2021-01-03 15:00:00,2.6,173.0,100.0,11.4,30.9,0.4891
STN-01,2021-01-03 16:00:00,3.3,330.0,120.0,11.4,35.1,0.5406
STN-01,2021-01-03 17:00:00,3.9,505.0,160.0,11.2,33.9,0.5722
STN-01,2021-01-03 18:00:00,4.7,505.0,148.0,9.0,43.1,0.6443
STN-01,2021-01-03 19:00:00,5.3,512.0,152.0,9.7,47.4,0.7176
STN-01,2021-01-03 20:00:00,4.6,484.0,139.0,9.2,47.5,0.6901
STN-01,2021-01-03 21:00:00,3.2,321.0,118.0,6.4,48.3,0.6259
STN-01,2021-01-03 22:00:00,2.0,190.0,108.0,5.6,51.5,0.6154
STN-01,2021-01-03 23:00:00,2.4,286.0,127.0,4.2,60.0,0.6379
STN-01,2021-01-04 00:00:00,,321.0,120.0,3.6,65.2,0.6167
STN-01,2021-01-04 01:00:00,2.4,291.0,119.0,1.9,71.7,0.6559
STN-01,2021-01-04 02:00:00,1.7,252.0,106.0,2.3,75.1,0.6955
STN-01,2021-01-04 03:00:00,5.4229033022362145,294.0,141.0,2.8,76.9,0.6981
STN-01,2021-01-04 04:00:00,0.9,208.0,98.0,3.3,70.5,0.6704
STN-01,2021-01-04 05:00:00,1.5,251.0,100.0,3.8,75.7,0.758
STN-01,2021-01-04 06:00:00,1.9,,95.0,3.9,73.2,0.7425
STN-01,2021-01-04 07:00:00,2.4,414.0,116.0,4.5,65.1,0.691
STN-01,2021-01-04 08:00:00,2.8,489.0,145.0,6.6,60.6,0.6918
STN-01,2021-01-04 09:00:00,2.5,407.0,146.0,8.4,55.1,0.6917
STN-01,2021-01-04 10:00:00,2.4,521.0,163.0,11.0,50.7,0.7289
STN-01,2021-01-04 11:00:00,2.6,591.0,168.0,13.2,41.5,0.6629
STN-01,2021-01-04 12:00:00,2.1,492.0,155.0,15.4,38.3,0.7017
STN-01,2021-01-04 13:00:00,2.3,525.0,163.0,15.3,37.8,0.6807
STN-01,2021-01-04 14:00:00,1.6,435.0,125.0,15.7,39.3,0.668
STN-01,2021-01-04 15:00:00,0.8,305.0,112.0,16.1,34.8,0.6153
STN-01,2021-01-04 16:00:00,1.1,911.953775477608,,16.2,33.8,
STN-01,2021-01-04 17:00:00,1.4,292.0,110.0,16.0,36.4,0.6753
STN-01,2021-01-04 18:00:00,2.6,378.0,145.0,13.9,42.0,0.7015
STN-01,2021-01-04 19:00:00,3.4,400.0,141.0,13.2,38.8,0.6631
STN-01,2021-01-04 20:00:00,4.3,493.0,172.0,10.8,49.4,0.7251
STN-01,2021-01-04 21:00:00,3.7,520.0,177.0,9.1,56.0,0.7263
STN-01,2021-01-04 22:00:00,2.0,293.0,126.0,8.3,55.5,0.7217
STN-01,2021-01-04 23:00:00,2.3,310.0,128.0,7.2,56.4,0.7165
STN-01,2021-01-05 00:00:00,2.3,374.0,150.0,6.6,53.7,0.6438
STN-01,2021-01-05 01:00:00,2.2,417.0,147.0,5.7,52.3,0.5558
STN-01,2021-01-05 02:00:00,1.6,323.0,133.0,5.5,51.7,0.5131
STN-01,2021-01-05 03:00:00,1.3,277.0,128.0,6.1,54.6,0.5771
STN-01,2021-01-05 04:00:00,1.5,286.0,107.0,6.1,55.9,0.5719
STN-01,2021-01-05 05:00:00,1.6,303.0,108.0,6.4,57.1,0.5963
STN-01,2021-01-05 06:00:00,2.1,425.0,140.0,5.9,53.4,0.5476
STN-01,2021-01-05 07:00:00,3.0,590.0,177.0,7.3,53.1,0.5878
STN-01,2021-01-05 08:00:00,3.6,651.0,189.0,7.2,47.4,0.539
STN-01,2021-01-05 09:00:00,3.7,610.0,190.0,9.0,43.6,0.5682
STN-01,2021-01-05 10:00:00,3.8,593.0,192.0,10.8,,
STN-01,2021-01-05 11:00:00,3.2,,172.0,12.5,35.1,0.5273
STN-01,2021-01-05 12:00:00,3.9,535.0,173.0,12.7,33.0,0.4724
STN-01,2021-01-05 13:00:00,4.4,516.0,154.0,13.6,30.0,0.4738
STN-01,2021-01-05 14:00:00,3.6,480.0,152.0,13.9,30.2,0.4781
STN-01,2021-01-05 15:00:00,3.5,506.0,155.0,12.4,34.1,0.438
STN-01,2021-01-05 16:00:00,3.1,475.0,153.0,12.2,33.2,0.4367
STN-01,2021-01-05 17:00:00,4.2,512.0,160.0,12.5,35.6,0.5043
STN-01,2021-01-05 18:00:00,5.2,609.0,190.0,11.3,36.6,0.5048
STN-01,2021-01-05 19:00:00,5.2,671.0,198.0,9.0,44.1,0.524
STN-01,2021-01-05 20:00:00,4.7,634.0,196.0,6.9,50.5,0.5156
STN-01,2021-01-05 21:00:00,3.4,570.0,205.0,5.5,48.3,0.4519
STN-01,2021-01-05 22:00:00,3.0,567.0,206.0,5.3,49.9,0.4625
STN-01,2021-01-05 23:00:00,2.9,555.0,212.0,5.0,52.2,0.4968
STN-01,2021-01-06 00:00:00,2.6,575.0,214.0,4.9,58.7,0.5747
STN-01,2021-01-06 01:00:00,2.4,512.0,174.0,4.2,55.8,0.5214
STN-01,2021-01-06 02:00:00,1.2,298.0,122.0,3.4,54.9,0.4904
STN-01,2021-01-06 03:00:00,0.3,261.0,115.0,3.6,57.5,0.5196
STN-01,2021-01-06 04:00:00,1.2,320.0,112.0,3.4,56.8,0.4965
STN-01,2021-01-06 05:00:00,1.5,313.0,106.0,3.6,58.0,0.5205
STN-01,2021-01-06 06:00:00,,232.0,95.0,4.1,63.3,0.5905
STN-01,2021-01-06 07:00:00,1.7,294.0,119.0,5.7,60.6,0.636
STN-01,2021-01-06 08:00:00,,443.0,158.0,6.8,59.4,0.6598
STN-01,2021-01-06 09:00:00,3.4,460.0,158.0,7.7,57.1,0.6846
STN-01,2021-01-06 10:00:00,2.6,467.0,161.0,9.2,49.7,0.6174
STN-01,2021-01-06 11:00:00,1.7,385.0,132.0,12.7,43.0,0.6488
STN-01,2021-01-06 12:00:00,2.9,457.0,165.0,16.4,39.8,0.7407
STN-01,2021-01-06 13:00:00,2.6,463.0,161.0,17.8,,0.7788
STN-01,2021-01-06 14:00:00,1.2,360.0,139.0,16.6,41.7,0.732
STN-01,2021-01-06 15:00:00,1.0,280.0,127.0,16.6,40.7,0.7225
STN-01,2021-01-06 16:00:00,1.8,339.0,130.0,15.3,47.3,2.0509433564629322
STN-01,2021-01-06 17:00:00,2.5,389.0,154.0,14.5,54.4,0.8273
STN-01,2021-01-06 18:00:00,3.2,433.0,158.0,,57.4,0.7984
STN-01,2021-01-06 19:00:00,2.5,349.0,144.0,,58.2,0.8124
STN-01,2021-01-06 20:00:00,2.1,292.0,143.0,8.7,55.6,0.7443
STN-01,2021-01-06 21:00:00,0.5,185.0,105.0,6.4,63.7,0.76
STN-01,2021-01-06 22:00:00,0.05,1.0,10.230695608695953,8.3,61.6,0.7709
STN-01,2021-01-06 23:00:00,0.05,1.0,1.0,7.4,62.0,0.7476
STN-01,2021-01-07 00:00:00,0.05,1.0,1.0,6.2,65.5,0.7171
STN-01,2021-01-07 01:00:00,0.05,1.0,1.0,5.7,67.0,0.728
STN-01,2021-01-07 02:00:00,0.05,1.0,1.0,4.8,65.3,0.6636
STN-01,2021-01-07 03:00:00,0.0,161.0,83.0,4.6,66.9,0.6894
STN-01,2021-01-07 04:00:00,0.0,200.0,89.0,3.4,62.8,0.6059
STN-01,2021-01-07 05:00:00,0.3,349.0,108.0,2.5,64.1,0.5633
STN-01,2021-01-07 06:00:00,0.4,360.0,97.0,1.8,66.9,0.6073
STN-01,2021-01-07 07:00:00,2.4,,136.0,2.4,67.5,0.618
STN-01,2021-01-07 08:00:00,3.6,705.0,167.0,4.4,65.1,0.6779
STN-01,2021-01-07 09:00:00,4.1,800.0,200.0,7.5,56.5,0.6575
STN-01,2021-01-07 10:00:00,3.3,770.0,206.0,11.1,49.3,0.6538
STN-01,2021-01-07 11:00:00,3.1,747.0,213.0,13.9,42.6,0.6339
STN-01,2021-01-07 12:00:00,2.2,557.0,179.0,15.7,31.7,0.5528
STN-01,2021-01-07 13:00:00,1.5,476.0,162.0,17.4,27.1,0.5526
STN-01,2021-01-07 14:00:00,1.6,422.0,155.0,16.9,26.7,0.4907
STN-01,2021-01-07 15:00:00,2.2,418.0,150.0,16.8,32.7,0.529
STN-01,2021-01-07 16:00:00,2.7,428.0,136.0,16.5,34.3,0.5288
STN-01,2021-01-07 17:00:00,2.7,429.0,139.0,15.7,33.2,0.4793
STN-01,2021-01-07 18:00:00,2.7,391.0,150.0,14.5,30.3,0.4743
STN-01,2021-01-07 19:00:00,3.4,370.0,140.0,13.1,35.9,0.4936
STN-01,2021-01-07 20:00:00,3.7,416.0,135.0,12.6,39.8,0.5016
STN-01,2021-01-07 21:00:00,2.5,305.0,110.0,,47.6,0.5098
STN-01,2021-01-07 22:00:00,1.2,139.0,97.0,10.8,46.7,0.5308
STN-01,2021-01-07 23:00:00,1.3,186.0,114.0,8.9,48.8,0.4813
STN-01,2021-01-08 00:00:00,0.3,73.0,101.0,9.6,47.3,0.4743
STN-01,2021-01-08 01:00:00,0.0,12.0,76.0,9.3,49.0,0.5199
STN-01,2021-01-08 02:00:00,0.0,1.0,49.0,8.5,51.7,0.5016
STN-01,2021-01-08 03:00:00,0.1,129.0,85.0,7.5,57.8,0.5558
STN-01,2021-01-08 04:00:00,0.0,61.0,54.0,6.3,61.5,0.5654
STN-01,2021-01-08 05:00:00,0.0,133.0,68.0,3.0,61.6,0.4826
STN-01,2021-01-08 06:00:00,0.0,163.0,71.0,3.0,64.3,0.5366
STN-01,2021-01-08 07:00:00,0.1,105.0,81.0,3.6,64.2,0.5295
STN-01,2021-01-08 08:00:00,1.8,311.0,150.0,4.1,61.5,0.5002
STN-01,2021-01-08 09:00:00,2.6,336.0,133.0,5.6,60.4,0.5401
STN-01,2021-01-08 10:00:00,2.5,368.0,152.0,8.2,59.3,
STN-01,2021-01-08 11:00:00,2.6,401.0,160.0,9.3,55.1,0.5759
STN-01,2021-01-08 12:00:00,2.6,360.0,153.0,11.3,48.4,0.5481
STN-01,2021-01-08 13:00:00,2.4,312.0,132.0,13.0,44.8,0.5835
STN-01,2021-01-08 14:00:00,1.0,194.0,95.0,13.1,43.1,0.5588
STN-01,2021-01-08 15:00:00,1.1,195.0,92.0,12.4,45.5,0.5313
STN-01,2021-01-08 16:00:00,0.9,203.0,84.0,12.7,47.0,0.5602
STN-01,2021-01-08 17:00:00,1.6,249.0,94.0,12.2,51.5,0.6078
STN-01,2021-01-08 18:00:00,2.4,373.0,111.0,11.7,55.3,0.6379
STN-01,2021-01-08 19:00:00,3.1,436.0,119.0,12.0,60.4,0.7318
STN-01,2021-01-08 20:00:00,3.2,462.0,126.0,10.2,70.8,0.8102
STN-01,2021-01-08 21:00:00,2.4,340.0,90.0,8.8,72.8,0.8355
STN-01,2021-01-08 22:00:00,3.0,380.0,85.0,9.1,71.7,0.8407
STN-01,2021-01-08 23:00:00,3.2,432.0,102.0,8.4,73.1,0.8515
STN-01,2021-01-09 00:00:00,3.4,566.0,137.0,6.7,75.7,0.8296
STN-01,2021-01-09 01:00:00,1.9,432.0,101.0,7.0,76.1,0.8773
STN-01,2021-01-09 02:00:00,,419.0,85.0,7.4,73.4,0.8562
STN-01,2021-01-09 03:00:00,1.7,421.0,103.0,6.3,75.9,0.8401
STN-01,2021-01-09 04:00:00,1.3,,62.0,5.7,74.7,0.8023
STN-01,2021-01-09 05:00:00,0.7,322.0,53.0,4.8,80.2,0.8669
STN-01,2021-01-09 06:00:00,0.8,408.0,66.0,4.2,79.5,0.8408
STN-01,2021-01-09 07:00:00,1.6,501.0,83.0,4.7,84.2,0.8889
STN-01,2021-01-09 08:00:00,2.2,622.0,115.0,5.4,86.1,0.951
STN-01,2021-01-09 09:00:00,2.1,578.0,125.0,7.1,81.4,0.9671
STN-01,2021-01-09 10:00:00,1.3,536.0,133.0,9.0,76.2,1.0017
STN-01,2021-01-09 11:00:00,1.2,522.0,129.0,11.7,71.8,1.0294
STN-01,2021-01-09 12:00:00,0.8,354.0,115.0,14.2,67.8,1.0991
STN-01,2021-01-09 13:00:00,1.6,387.0,130.0,13.7,68.0,1.0585
STN-01,2021-01-09 14:00:00,1.6,404.0,123.0,13.5,69.6,1.0719
STN-01,2021-01-09 15:00:00,1.9,414.0,145.0,12.3,67.4,0.9994
STN-01,2021-01-09 16:00:00,,316.0,149.0,13.3,59.6,0.9741
STN-01,2021-01-09 17:00:00,2.4,416.0,175.0,12.3,63.0,0.9819
STN-01,2021-01-09 18:00:00,3.0,459.0,182.0,9.9,65.1,1.023
STN-01,2021-01-09 19:00:00,3.7,495.0,191.0,8.9,,0.99
STN-01,2021-01-09 20:00:00,3.5,499.0,188.0,7.9,60.7,0.9368
STN-01,2021-01-09 21:00:00,2.2,456.0,144.0,6.4,65.0,0.9074
STN-01,2021-01-09 22:00:00,1.5,399.0,122.0,7.9,65.1,0.969
STN-01,2021-01-09 23:00:00,2.9,,150.0,6.4,67.1,0.9381
STN-01,2021-01-10 00:00:00,1.9,419.0,148.0,4.0,71.3,0.8685
STN-01,2021-01-10 01:00:00,1.0,295.0,127.0,3.4,74.8,0.8716
STN-01,2021-01-10 02:00:00,1.0,284.0,109.0,2.8,73.4,0.8021
STN-01,2021-01-10 03:00:00,1.4,364.0,125.0,2.9,81.0,0.8592
STN-01,2021-01-10 04:00:00,1.4,313.0,103.0,3.3,81.3,0.9065
STN-01,2021-01-10 05:00:00,1.0,285.0,99.0,2.2,79.0,0.8547
STN-01,2021-01-10 06:00:00,0.6,268.0,102.0,1.5,77.9,0.8249
STN-01,2021-01-10 07:00:00,1.8,352.0,125.0,1.9,77.1,0.8167
STN-01,2021-01-10 08:00:00,1.7,375.0,126.0,2.2,70.1,0.7404
STN-01,2021-01-10 09:00:00,2.4,431.0,133.0,3.6,68.3,0.7611
STN-01,2021-01-10 10:00:00,2.2,398.0,146.0,5.9,58.9,0.7237
STN-01,2021-01-10 11:00:00,2.2,378.0,145.0,8.4,55.8,0.7353
STN-01,2021-01-10 12:00:00,2.0,358.0,154.0,8.4,55.0,0.6911
STN-01,2021-01-10 13:00:00,,271.0,144.0,8.8,51.3,0.6239
STN-01,2021-01-10 14:00:00,1.8,288.0,135.0,,47.7,0.6193
STN-01,2021-01-10 15:00:00,1.3,324.0,145.0,10.1,44.1,0.565
STN-01,2021-01-10 16:00:00,1.0,331.0,168.0,,43.2,
STN-01,2021-01-10 17:00:00,3.2,487.0,210.0,10.2,47.3,0.6058
STN-01,2021-01-10 18:00:00,4.4,629.0,219.0,7.2,54.2,0.5675
STN-01,2021-01-10 19:00:00,3.8,501.0,178.0,5.9,56.0,0.5656
STN-01,2021-01-10 20:00:00,2.7,427.0,161.0,5.4,52.2,0.4831
STN-01,2021-01-10 21:00:00,1.6,310.0,131.0,4.5,,0.5182
STN-01,2021-01-10 22:00:00,,237.0,116.0,2.9,59.5,0.4891
STN-01,2021-01-10 23:00:00,1.3,237.0,113.0,2.9,66.2,
STN-01,2021-01-11 00:00:00,1.1,196.0,99.0,2.8,63.9,0.5637
STN-01,2021-01-11 01:00:00,0.9,176.0,85.0,1.1,68.4,0.5576
STN-01,2021-01-11 02:00:00,1.2,206.0,82.0,0.5,68.0,0.5241
STN-01,2021-01-11 03:00:00,1.0,181.0,87.0,1.4,70.4,0.5769
STN-01,2021-01-11 04:00:00,0.7,222.0,88.0,2.2,68.1,0.5606
STN-01,2021-01-11 05:00:00,1.9,405.0,119.0,1.4,70.0,0.5593
STN-01,2021-01-11 06:00:00,1.8,409.0,125.0,2.1,75.5,0.6269
STN-01,2021-01-11 07:00:00,1.8,419.0,128.0,0.2,75.3,0.5717
STN-01,2021-01-11 08:00:00,2.1,521.0,149.0,1.3,66.9,0.5213
STN-01,2021-01-11 09:00:00,1.8,424.0,150.0,3.9,,0.5112
STN-01,2021-01-11 10:00:00,1.6,463.0,176.0,6.2,47.3,0.3922
STN-01,2021-01-11 11:00:00,2.1,477.0,199.0,9.5,38.1,0.3666
STN-01,2021-01-11 12:00:00,1.1,333.0,155.0,10.2,36.6,0.3567
STN-01,2021-01-11 13:00:00,1.8,331.0,164.0,10.5,38.2,0.3081
STN-01,2021-01-11 14:00:00,1.2,294.0,156.0,10.9,39.2,0.3422
STN-01,2021-01-11 15:00:00,1.3,281.0,151.0,13.5,38.8,0.4358
STN-01,2021-01-11 16:00:00,2.1,338.0,144.0,14.8,39.1,0.5177
STN-01,2021-01-11 17:00:00,2.4,332.0,149.0,14.5,37.9,0.4954
STN-01,2021-01-11 18:00:00,3.7,434.0,146.0,13.4,48.3,0.604
STN-01,2021-01-11 19:00:00,3.6,470.0,142.0,11.1,49.3,0.5626
STN-01,2021-01-11 20:00:00,3.7,519.0,154.0,9.9,55.6,0.6
STN-01,2021-01-11 21:00:00,2.7,418.0,130.0,9.0,58.2,0.622
STN-01,2021-01-11 22:00:00,2.6,346.0,124.0,7.7,62.3,0.6021
STN-01,2021-01-11 23:00:00,3.1,449.0,124.0,6.3,72.8,0.6886
STN-01,2021-01-12 00:00:00,3.5,473.0,128.0,6.2,76.4,0.7767
STN-01,2021-01-12 01:00:00,1.7,322.0,88.0,5.1,78.9,0.7576
STN-01,2021-01-12 02:00:00,2.6,384.0,,4.7,83.7,0.813
STN-01,2021-01-12 03:00:00,2.2,359.0,93.0,3.7,88.0,
STN-01,2021-01-12 04:00:00,1.9,336.0,81.0,2.4,97.2,0.9004
STN-01,2021-01-12 05:00:00,1.7,364.0,101.0,2.2,98.6,0.918
STN-01,2021-01-12 06:00:00,2.0,493.0,115.0,1.6,94.0,0.8272
STN-01,2021-01-12 07:00:00,3.3,600.0,153.0,1.1,91.9,0.8227
STN-01,2021-01-12 08:00:00,3.4,580.0,146.0,0.8,88.3,0.7791
STN-01,2021-01-12 09:00:00,3.4,606.0,155.0,3.6,77.6,0.7464
STN-01,2021-01-12 10:00:00,2.5,542.0,155.0,6.0,71.7,0.7637
STN-01,2021-01-12 11:00:00,1.3,389.0,140.0,8.9,66.3,0.7594
STN-01,2021-01-12 12:00:00,2.9,491.0,145.0,10.6,61.0,0.7277
STN-01,2021-01-12 13:00:00,4.1,,159.0,10.9,58.6,0.6787
STN-01,2021-01-12 14:00:00,3.8,576.0,143.0,11.8,69.5,0.7989
STN-01,2021-01-12 15:00:00,3.0,460.0,116.0,11.8,68.5,0.8215
STN-01,2021-01-12 16:00:00,2.9,433.0,132.0,,63.0,0.7671
STN-01,2021-01-12 17:00:00,3.7,559.0,153.0,13.2,66.1,0.7629
STN-01,2021-01-12 18:00:00,4.4,575.0,166.0,14.5,65.2,0.8443
STN-01,2021-01-12 19:00:00,5.6,658.0,197.0,14.0,64.7,0.8743
STN-01,2021-01-12 20:00:00,4.6,610.0,179.0,13.6,63.2,0.8494
STN-01,2021-01-12 21:00:00,2.6,470.0,139.0,13.1,60.6,0.838
STN-01,2021-01-12 22:00:00,1.1,349.0,130.0,10.0,62.6,0.7385
STN-01,2021-01-12 23:00:00,1.2,280.0,123.0,7.7,64.5,0.7116
STN-01,2021-01-13 00:00:00,2.6,374.0,145.0,7.5,66.4,0.7079
STN-01,2021-01-13 01:00:00,1.4,287.0,137.0,6.4,66.0,0.6404
STN-01,2021-01-13 02:00:00,1.2,250.0,125.0,-17.90142221675993,69.0,0.6039
STN-01,2021-01-13 03:00:00,0.9,302.0,135.0,3.5,72.6,0.5701
STN-01,2021-01-13 04:00:00,0.6,238.0,108.0,3.9,67.7,0.5055
STN-01,2021-01-13 05:00:00,0.9,360.0,115.0,4.8,66.5,0.5231
STN-01,2021-01-13 06:00:00,0.1,289.0,102.0,4.5,62.4,0.4663
STN-01,2021-01-13 07:00:00,1.0,421.0,135.0,3.3,56.0,0.3472
STN-01,2021-01-13 08:00:00,2.0,520.0,163.0,4.8,53.3,0.3544
STN-01,2021-01-13 09:00:00,2.0,537.0,167.0,7.5,51.3,0.4708
STN-01,2021-01-13 10:00:00,0.8,470.0,160.0,9.5,41.1,0.3821
STN-01,2021-01-13 11:00:00,0.7,464.0,155.0,12.1,32.1,0.3355
STN-01,2021-01-13 12:00:00,,409.0,157.0,13.9,28.2,0.3191
STN-01,2021-01-13 13:00:00,1.1,407.0,160.0,12.7,30.8,0.2509
STN-01,2021-01-13 14:00:00,0.7,321.0,137.0,14.1,25.3,0.2156
STN-01,2021-01-13 15:00:00,1.2,434.0,164.0,14.3,31.2,0.2709
STN-01,2021-01-13 16:00:00,2.1,509.0,174.0,16.2,33.1,0.3151
STN-01,2021-01-13 17:00:00,,525.0,175.0,15.7,34.1,0.3374
STN-01,2021-01-13 18:00:00,3.9,536.0,174.0,13.0,40.2,0.3548
STN-01,2021-01-13 19:00:00,5.0,633.0,195.0,12.1,43.2,0.3636
STN-01,2021-01-13 20:00:00,4.4,504.0,168.0,10.6,43.9,0.3403
STN-01,2021-01-13 21:00:00,1.8,256.0,121.0,9.9,45.7,0.3853
STN-01,2021-01-13 22:00:00,1.0,176.0,87.0,9.2,48.8,0.3905
STN-01,2021-01-13 23:00:00,1.2,135.0,66.0,8.1,53.6,0.3908
STN-01,2021-01-14 00:00:00,2.3,308.0,87.0,7.1,60.4,0.4004
STN-01,2021-01-14 01:00:00,,322.0,85.0,6.2,67.2,0.4651
STN-01,2021-01-14 02:00:00,2.3,318.0,97.0,5.2,70.2,0.4783
STN-01,2021-01-14 03:00:00,0.9,194.0,91.0,2.9,78.2,0.4756
STN-01,2021-01-14 04:00:00,1.2,175.0,63.0,3.3,82.3,0.5463
STN-01,2021-01-14 05:00:00,1.4,120.0,79.0,2.6,88.0,0.6129
STN-01,2021-01-14 06:00:00,2.2,197.0,112.0,2.3,84.0,0.5523
STN-01,2021-01-14 07:00:00,1.7,207.0,115.0,3.9,83.1,0.6276
STN-01,2021-01-14 08:00:00,1.3,247.0,122.0,4.0,79.0,0.5947
STN-01,2021-01-14 09:00:00,1.5,326.0,158.0,6.1,68.8,0.5551
STN-01,2021-01-14 10:00:00,1.8,293.0,164.0,8.5,61.5,0.5182
STN-01,2021-01-14 11:00:00,2.5,316.0,159.0,9.9,60.8,0.5541
STN-01,2021-01-14 12:00:00,3.4,380.0,177.0,11.3,50.3,0.4553
